session,seed,agent,action,timestamp_ms,latency_us
1,1,FSM,light_attack,9603,16
1,1,FSM,heavy_attack,10318,18
1,1,FSM,light_attack,14185,16
1,1,FSM,heavy_attack,14904,19
1,1,FSM,light_attack,18768,16
1,1,FSM,heavy_attack,19486,18
1,1,FSM,light_attack,23351,16
1,1,FSM,use_skill,24068,16
1,1,FSM,light_attack,28085,16
1,1,FSM,use_skill,28804,17
1,1,FSM,block,32819,19
1,1,FSM,dodge,33318,16
1,1,FSM,block,37435,16
1,1,FSM,heavy_attack,37934,18
1,1,FSM,light_attack,39402,17
1,1,FSM,block,42250,16
1,1,FSM,dodge,42750,35
1,1,FSM,block,46867,16
1,1,FSM,heavy_attack,47367,17
2,2,FSM,light_attack,49750,17
2,2,FSM,heavy_attack,50468,17
2,2,FSM,light_attack,54333,16
2,2,FSM,heavy_attack,55050,17
2,2,FSM,light_attack,58933,17
2,2,FSM,heavy_attack,59651,20
2,2,FSM,light_attack,63518,17
2,2,FSM,use_skill,64235,20
2,2,FSM,light_attack,68249,17
2,2,FSM,use_skill,68966,17
2,2,FSM,block,72982,17
2,2,FSM,dodge,73485,18
2,2,FSM,block,77600,18
2,2,FSM,heavy_attack,78100,18
2,2,FSM,light_attack,79566,17
2,2,FSM,block,82416,16
2,2,FSM,dodge,82916,19
2,2,FSM,block,87033,19
2,2,FSM,heavy_attack,87534,21
3,3,FSM,light_attack,89932,16
3,3,FSM,heavy_attack,90649,18
3,3,FSM,light_attack,94517,34
3,3,FSM,heavy_attack,95232,17
3,3,FSM,light_attack,99099,17
3,3,FSM,heavy_attack,99814,19
3,3,FSM,light_attack,103681,16
3,3,FSM,use_skill,104398,16
3,3,FSM,light_attack,108414,18
3,3,FSM,use_skill,109131,17
3,3,FSM,block,113148,17
3,3,FSM,dodge,113648,18
3,3,FSM,block,117763,17
3,3,FSM,heavy_attack,118264,19
3,3,FSM,light_attack,119732,18
3,3,FSM,block,122580,16
3,3,FSM,dodge,123080,18
3,3,FSM,block,127196,17
3,3,FSM,heavy_attack,127698,19
4,4,FSM,light_attack,130113,15
4,4,FSM,heavy_attack,130832,18
4,4,FSM,light_attack,134697,18
4,4,FSM,heavy_attack,135413,19
4,4,FSM,light_attack,139279,17
4,4,FSM,heavy_attack,139997,16
4,4,FSM,light_attack,143864,16
4,4,FSM,use_skill,144579,20
4,4,FSM,light_attack,148595,17
4,4,FSM,use_skill,149312,16
