session,seed,agent,action,timestamp_ms,latency_us
1,1,MAB,light_attack,2432391,30
1,1,MAB,heavy_attack,2433107,32
1,1,MAB,heavy_attack,2436974,37
1,1,MAB,heavy_attack,2438443,30
1,1,MAB,heavy_attack,2441892,31
1,1,MAB,heavy_attack,2443357,30
1,1,MAB,heavy_attack,2446808,33
1,1,MAB,heavy_attack,2448276,33
1,1,MAB,heavy_attack,2451739,31
1,1,MAB,light_attack,2453206,28
1,1,MAB,heavy_attack,2456342,32
1,1,MAB,heavy_attack,2457806,30
1,1,MAB,heavy_attack,2461275,32
2,2,MAB,light_attack,2464189,32
2,2,MAB,heavy_attack,2464906,33
2,2,MAB,heavy_attack,2468773,33
2,2,MAB,light_attack,2470240,31
2,2,MAB,heavy_attack,2473357,37
2,2,MAB,heavy_attack,2474826,37
2,2,MAB,heavy_attack,2478271,30
2,2,MAB,heavy_attack,2479738,33
2,2,MAB,heavy_attack,2483205,27
2,2,MAB,heavy_attack,2484674,33
2,2,MAB,light_attack,2488141,28
2,2,MAB,heavy_attack,2488855,31
2,2,MAB,dodge,2492738,27
2,2,MAB,heavy_attack,2493504,31
3,3,MAB,light_attack,2496454,35
3,3,MAB,heavy_attack,2497171,33
3,3,MAB,heavy_attack,2501021,32
3,3,MAB,heavy_attack,2502488,31
3,3,MAB,heavy_attack,2505939,42
3,3,MAB,heavy_attack,2507403,30
3,3,MAB,heavy_attack,2510853,31
3,3,MAB,heavy_attack,2512320,32
3,3,MAB,heavy_attack,2515787,30
3,3,MAB,heavy_attack,2517253,34
3,3,MAB,heavy_attack,2520722,32
3,3,MAB,heavy_attack,2522187,33
3,3,MAB,heavy_attack,2525653,33
4,4,MAB,light_attack,2528586,31
4,4,MAB,heavy_attack,2529303,32
4,4,MAB,heavy_attack,2533169,32
4,4,MAB,light_attack,2534637,27
4,4,MAB,heavy_attack,2537754,31
4,4,MAB,heavy_attack,2539219,32
4,4,MAB,heavy_attack,2542668,33
4,4,MAB,heavy_attack,2544136,33
4,4,MAB,heavy_attack,2547603,31
4,4,MAB,heavy_attack,2549071,34
4,4,MAB,heavy_attack,2552535,48
4,4,MAB,heavy_attack,2554003,33
4,4,MAB,use_skill,2557468,29
5,5,MAB,light_attack,2560352,31
5,5,MAB,heavy_attack,2561068,54
5,5,MAB,heavy_attack,2564939,33
5,5,MAB,heavy_attack,2566405,33
5,5,MAB,block,2569852,27
5,5,MAB,heavy_attack,2570351,32
5,5,MAB,heavy_attack,2571819,31
5,5,MAB,heavy_attack,2574984,31
5,5,MAB,heavy_attack,2576452,32
5,5,MAB,heavy_attack,2579919,31
5,5,MAB,heavy_attack,2581384,32
5,5,MAB,heavy_attack,2584850,31
5,5,MAB,heavy_attack,2586317,32
5,5,MAB,heavy_attack,2589784,30
6,6,MAB,light_attack,2592716,31
6,6,MAB,heavy_attack,2593433,32
6,6,MAB,heavy_attack,2597301,132
6,6,MAB,heavy_attack,2598767,33
6,6,MAB,heavy_attack,2602216,31
6,6,MAB,heavy_attack,2603682,31
6,6,MAB,heavy_attack,2607132,30
6,6,MAB,heavy_attack,2608599,33
6,6,MAB,heavy_attack,2612065,33
6,6,MAB,heavy_attack,2613532,30
6,6,MAB,heavy_attack,2617002,64
6,6,MAB,heavy_attack,2618465,32
6,6,MAB,heavy_attack,2621932,46
7,7,MAB,light_attack,2624848,30
7,7,MAB,heavy_attack,2625566,32
7,7,MAB,heavy_attack,2629432,31
7,7,MAB,heavy_attack,2630898,30
7,7,MAB,heavy_attack,2634348,31
7,7,MAB,heavy_attack,2635821,69
7,7,MAB,heavy_attack,2639269,32
7,7,MAB,heavy_attack,2640731,32
7,7,MAB,heavy_attack,2644198,29
7,7,MAB,heavy_attack,2645666,31
7,7,MAB,heavy_attack,2649131,30
7,7,MAB,heavy_attack,2650597,31
7,7,MAB,dodge,2654066,104
7,7,MAB,heavy_attack,2654832,34
8,8,MAB,light_attack,2657696,30
8,8,MAB,heavy_attack,2658414,33
8,8,MAB,heavy_attack,2662281,32
8,8,MAB,heavy_attack,2663748,121
8,8,MAB,heavy_attack,2667197,36
8,8,MAB,heavy_attack,2668663,31
8,8,MAB,heavy_attack,2672113,31
8,8,MAB,heavy_attack,2673579,32
8,8,MAB,heavy_attack,2677045,30
8,8,MAB,block,2678514,29
8,8,MAB,heavy_attack,2679013,39
8,8,MAB,heavy_attack,2682195,32
8,8,MAB,heavy_attack,2683662,32
8,8,MAB,heavy_attack,2687129,32
9,9,MAB,light_attack,2690064,38
9,9,MAB,heavy_attack,2690782,35
9,9,MAB,light_attack,2694645,26
9,9,MAB,heavy_attack,2695364,39
9,9,MAB,heavy_attack,2699228,49
9,9,MAB,heavy_attack,2700695,31
9,9,MAB,heavy_attack,2704146,32
9,9,MAB,heavy_attack,2705613,29
9,9,MAB,heavy_attack,2709077,30
9,9,MAB,light_attack,2710544,26
9,9,MAB,heavy_attack,2713679,30
9,9,MAB,dodge,2715146,28
9,9,MAB,heavy_attack,2718712,32
10,10,MAB,light_attack,2721630,34
10,10,MAB,heavy_attack,2722344,32
10,10,MAB,heavy_attack,2726210,66
10,10,MAB,heavy_attack,2727679,33
10,10,MAB,heavy_attack,2731126,30
10,10,MAB,heavy_attack,2732595,34
10,10,MAB,heavy_attack,2736045,28
10,10,MAB,heavy_attack,2737510,38
10,10,MAB,heavy_attack,2740977,33
10,10,MAB,heavy_attack,2742444,31
10,10,MAB,heavy_attack,2745909,39
10,10,MAB,block,2747376,44
10,10,MAB,heavy_attack,2747877,47
10,10,MAB,heavy_attack,2751060,33
11,11,MAB,light_attack,2753959,33
11,11,MAB,heavy_attack,2754676,31
11,11,MAB,heavy_attack,2758545,32
11,11,MAB,heavy_attack,2760012,31
11,11,MAB,heavy_attack,2763462,33
11,11,MAB,block,2764925,28
11,11,MAB,heavy_attack,2765426,44
11,11,MAB,block,2768593,26
11,11,MAB,heavy_attack,2769092,32
11,11,MAB,heavy_attack,2770562,65
11,11,MAB,heavy_attack,2773741,31
11,11,MAB,heavy_attack,2775208,31
11,11,MAB,heavy_attack,2778676,36
11,11,MAB,heavy_attack,2780144,33
11,11,MAB,heavy_attack,2783608,32
12,12,MAB,light_attack,2786557,30
12,12,MAB,heavy_attack,2787274,39
12,12,MAB,heavy_attack,2791141,33
12,12,MAB,heavy_attack,2792607,30
12,12,MAB,light_attack,2796057,28
12,12,MAB,heavy_attack,2796774,31
12,12,MAB,dodge,2800641,26
12,12,MAB,heavy_attack,2801407,31
12,12,MAB,heavy_attack,2802875,29
12,12,MAB,dodge,2806309,29
12,12,MAB,heavy_attack,2807075,34
12,12,MAB,heavy_attack,2808540,34
12,12,MAB,light_attack,2812009,27
12,12,MAB,heavy_attack,2812725,32
12,12,MAB,heavy_attack,2816610,30
13,13,MAB,block,2819506,27
13,13,MAB,light_attack,2820005,32
13,13,MAB,heavy_attack,2820722,31
13,13,MAB,heavy_attack,2824305,32
13,13,MAB,heavy_attack,2825773,31
13,13,MAB,heavy_attack,2829222,30
13,13,MAB,use_skill,2830691,26
13,13,MAB,use_skill,2834274,32
13,13,MAB,use_skill,2836039,34
13,13,MAB,use_skill,2839455,32
13,13,MAB,use_skill,2841225,50
13,13,MAB,use_skill,2844657,28
13,13,MAB,use_skill,2846422,31
14,14,MAB,light_attack,2848390,31
14,14,MAB,heavy_attack,2849104,30
14,14,MAB,heavy_attack,2852973,33
14,14,MAB,heavy_attack,2854440,31
14,14,MAB,heavy_attack,2857887,31
14,14,MAB,heavy_attack,2859356,32
14,14,MAB,heavy_attack,2862804,31
14,14,MAB,heavy_attack,2864271,33
14,14,MAB,heavy_attack,2867740,37
14,14,MAB,heavy_attack,2869204,32
14,14,MAB,heavy_attack,2872670,30
14,14,MAB,heavy_attack,2874136,31
14,14,MAB,heavy_attack,2877604,32
15,15,MAB,light_attack,2880508,34
15,15,MAB,heavy_attack,2881223,36
15,15,MAB,heavy_attack,2885088,32
15,15,MAB,heavy_attack,2886555,33
15,15,MAB,heavy_attack,2890003,31
15,15,MAB,heavy_attack,2891470,30
15,15,MAB,heavy_attack,2894919,30
15,15,MAB,heavy_attack,2896389,35
15,15,MAB,heavy_attack,2899852,30
15,15,MAB,heavy_attack,2901320,32
15,15,MAB,heavy_attack,2904785,30
15,15,MAB,heavy_attack,2906253,35
15,15,MAB,heavy_attack,2909719,30
16,16,MAB,light_attack,2912604,31
16,16,MAB,use_skill,2913320,31
16,16,MAB,use_skill,2917318,31
16,16,MAB,use_skill,2919085,31
16,16,MAB,use_skill,2922502,31
16,16,MAB,use_skill,2924268,30
16,16,MAB,use_skill,2927685,31
16,16,MAB,use_skill,2929451,31
16,16,MAB,use_skill,2932867,39
16,16,MAB,use_skill,2934638,50
16,16,MAB,use_skill,2938067,31
17,17,MAB,light_attack,2940017,30
17,17,MAB,heavy_attack,2940737,42
17,17,MAB,heavy_attack,2944600,29
17,17,MAB,heavy_attack,2946067,31
17,17,MAB,heavy_attack,2949519,32
17,17,MAB,heavy_attack,2950983,31
17,17,MAB,heavy_attack,2954433,31
17,17,MAB,heavy_attack,2955901,30
17,17,MAB,heavy_attack,2959368,34
17,17,MAB,block,2960834,28
17,17,MAB,heavy_attack,2961333,30
17,17,MAB,heavy_attack,2964516,31
17,17,MAB,heavy_attack,2965982,30
17,17,MAB,heavy_attack,2969449,31
18,18,MAB,light_attack,2972383,31
18,18,MAB,heavy_attack,2973099,35
18,18,MAB,heavy_attack,2976967,32
18,18,MAB,dodge,2978432,26
18,18,MAB,heavy_attack,2981998,30
18,18,MAB,heavy_attack,2983465,31
18,18,MAB,heavy_attack,2986900,29
18,18,MAB,heavy_attack,2988366,33
18,18,MAB,heavy_attack,2991832,36
18,18,MAB,heavy_attack,2993299,32
18,18,MAB,heavy_attack,2996764,30
18,18,MAB,heavy_attack,2998232,38
18,18,MAB,heavy_attack,3001697,30
19,19,MAB,light_attack,3004599,30
19,19,MAB,heavy_attack,3005314,46
19,19,MAB,heavy_attack,3009182,32
19,19,MAB,heavy_attack,3010647,49
19,19,MAB,heavy_attack,3014098,29
19,19,MAB,heavy_attack,3015564,32
19,19,MAB,heavy_attack,3019014,30
19,19,MAB,heavy_attack,3020480,31
19,19,MAB,light_attack,3023950,29
19,19,MAB,heavy_attack,3024663,36
19,19,MAB,heavy_attack,3028549,31
19,19,MAB,heavy_attack,3030013,47
19,19,MAB,heavy_attack,3033479,32
20,20,MAB,light_attack,3036379,31
20,20,MAB,heavy_attack,3037098,33
20,20,MAB,heavy_attack,3040963,31
20,20,MAB,heavy_attack,3042430,32
20,20,MAB,heavy_attack,3045878,32
20,20,MAB,heavy_attack,3047349,32
20,20,MAB,heavy_attack,3050797,32
20,20,MAB,heavy_attack,3052262,32
20,20,MAB,heavy_attack,3055731,37
20,20,MAB,heavy_attack,3057195,30
20,20,MAB,heavy_attack,3060661,32
20,20,MAB,heavy_attack,3062128,31
20,20,MAB,heavy_attack,3065595,29
21,21,MAB,light_attack,3068511,31
21,21,MAB,heavy_attack,3069228,56
21,21,MAB,heavy_attack,3073095,31
21,21,MAB,heavy_attack,3074561,32
21,21,MAB,heavy_attack,3078011,32
21,21,MAB,heavy_attack,3079477,32
21,21,MAB,heavy_attack,3082927,32
21,21,MAB,heavy_attack,3084394,33
21,21,MAB,heavy_attack,3087862,55
21,21,MAB,heavy_attack,3089327,31
21,21,MAB,heavy_attack,3092795,32
21,21,MAB,light_attack,3094261,26
21,21,MAB,heavy_attack,3097392,31
22,22,MAB,light_attack,3100310,30
22,22,MAB,heavy_attack,3101028,33
22,22,MAB,heavy_attack,3104893,31
22,22,MAB,heavy_attack,3106361,32
22,22,MAB,heavy_attack,3109812,32
22,22,MAB,heavy_attack,3111276,31
22,22,MAB,heavy_attack,3114727,33
22,22,MAB,heavy_attack,3116193,32
22,22,MAB,heavy_attack,3119658,31
22,22,MAB,heavy_attack,3121129,45
22,22,MAB,heavy_attack,3124593,32
22,22,MAB,heavy_attack,3126059,32
22,22,MAB,heavy_attack,3129525,32
23,23,MAB,light_attack,3132412,35
23,23,MAB,heavy_attack,3133128,32
23,23,MAB,light_attack,3136991,26
23,23,MAB,heavy_attack,3137708,32
23,23,MAB,heavy_attack,3141574,32
23,23,MAB,heavy_attack,3143042,33
23,23,MAB,heavy_attack,3146491,32
23,23,MAB,heavy_attack,3147958,31
23,23,MAB,heavy_attack,3151423,43
23,23,MAB,heavy_attack,3152892,32
23,23,MAB,heavy_attack,3156357,31
23,23,MAB,heavy_attack,3157824,32
23,23,MAB,heavy_attack,3161291,29
24,24,MAB,light_attack,3164241,31
24,24,MAB,heavy_attack,3164957,32
24,24,MAB,heavy_attack,3168825,32
24,24,MAB,block,3170291,28
24,24,MAB,heavy_attack,3170791,31
24,24,MAB,heavy_attack,3173956,44
24,24,MAB,heavy_attack,3175423,26
24,24,MAB,heavy_attack,3178874,34
24,24,MAB,heavy_attack,3180339,32
24,24,MAB,heavy_attack,3183806,32
24,24,MAB,heavy_attack,3185273,34
24,24,MAB,light_attack,3188740,27
24,24,MAB,heavy_attack,3189458,54
24,24,MAB,heavy_attack,3193340,32
25,25,MAB,light_attack,3196240,32
25,25,MAB,heavy_attack,3196957,70
25,25,MAB,heavy_attack,3200826,67
25,25,MAB,heavy_attack,3202290,32
25,25,MAB,heavy_attack,3205740,30
25,25,MAB,heavy_attack,3207205,32
25,25,MAB,heavy_attack,3210656,32
25,25,MAB,heavy_attack,3212121,31
25,25,MAB,heavy_attack,3215587,52
25,25,MAB,heavy_attack,3217055,31
25,25,MAB,heavy_attack,3220521,32
25,25,MAB,heavy_attack,3221987,33
25,25,MAB,heavy_attack,3225453,92
26,26,MAB,light_attack,3228339,49
26,26,MAB,heavy_attack,3229056,33
26,26,MAB,heavy_attack,3232924,58
26,26,MAB,block,3234388,29
26,26,MAB,heavy_attack,3234887,31
26,26,MAB,heavy_attack,3238054,32
26,26,MAB,heavy_attack,3239521,31
26,26,MAB,heavy_attack,3242973,33
26,26,MAB,heavy_attack,3244436,31
26,26,MAB,heavy_attack,3247903,33
26,26,MAB,heavy_attack,3249369,30
26,26,MAB,heavy_attack,3252836,32
26,26,MAB,heavy_attack,3254302,31
26,26,MAB,heavy_attack,3257770,31
27,27,MAB,light_attack,3260756,34
27,27,MAB,heavy_attack,3261469,40
27,27,MAB,heavy_attack,3265336,66
27,27,MAB,heavy_attack,3266802,37
27,27,MAB,heavy_attack,3270252,31
27,27,MAB,heavy_attack,3271718,33
27,27,MAB,heavy_attack,3275172,34
27,27,MAB,heavy_attack,3276635,32
27,27,MAB,heavy_attack,3280102,29
27,27,MAB,heavy_attack,3281568,31
27,27,MAB,heavy_attack,3285034,31
27,27,MAB,heavy_attack,3286501,33
27,27,MAB,heavy_attack,3289969,31
28,28,MAB,block,3292817,26
28,28,MAB,light_attack,3293318,30
28,28,MAB,heavy_attack,3294037,33
28,28,MAB,heavy_attack,3297617,32
28,28,MAB,heavy_attack,3299084,31
28,28,MAB,heavy_attack,3302534,31
28,28,MAB,heavy_attack,3304001,33
28,28,MAB,block,3307450,27
28,28,MAB,heavy_attack,3307951,35
