session,seed,agent,action,timestamp_ms,latency_us
1,1,Utility,light_attack,1221180,63
1,1,Utility,heavy_attack,1221897,38
1,1,Utility,light_attack,1225765,37
1,1,Utility,heavy_attack,1226484,45
1,1,Utility,light_attack,1230347,38
1,1,Utility,use_skill,1231062,53
1,1,Utility,light_attack,1235062,38
1,1,Utility,use_skill,1235781,39
1,1,Utility,block,1239795,37
1,1,Utility,use_skill,1240295,36
1,1,Utility,block,1244428,38
1,1,Utility,dodge,1244929,35
1,1,Utility,block,1249046,35
1,1,Utility,use_skill,1249547,36
1,1,Utility,block,1253680,82
1,1,Utility,dodge,1254179,47
1,1,Utility,block,1258301,35
1,1,Utility,heavy_attack,1258795,34
2,2,Utility,light_attack,1261247,40
2,2,Utility,heavy_attack,1261962,45
2,2,Utility,light_attack,1265829,46
2,2,Utility,heavy_attack,1266560,51
2,2,Utility,light_attack,1270446,45
2,2,Utility,use_skill,1271164,45
2,2,Utility,light_attack,1275162,42
2,2,Utility,use_skill,1275880,45
2,2,Utility,block,1279896,44
2,2,Utility,use_skill,1280395,43
2,2,Utility,block,1284529,44
2,2,Utility,dodge,1285027,42
2,2,Utility,block,1289132,38
2,2,Utility,use_skill,1289627,35
2,2,Utility,block,1293761,44
2,2,Utility,dodge,1294260,37
2,2,Utility,block,1298377,37
2,2,Utility,heavy_attack,1298876,34
3,3,Utility,light_attack,1301259,37
3,3,Utility,heavy_attack,1301978,40
3,3,Utility,light_attack,1305844,37
3,3,Utility,heavy_attack,1306560,40
3,3,Utility,light_attack,1310663,45
3,3,Utility,use_skill,1311360,45
3,3,Utility,light_attack,1315358,40
3,3,Utility,use_skill,1316077,39
3,3,Utility,block,1320093,49
3,3,Utility,use_skill,1320594,43
3,3,Utility,block,1324725,41
3,3,Utility,dodge,1325226,41
3,3,Utility,block,1329343,41
3,3,Utility,use_skill,1329842,39
3,3,Utility,block,1333976,41
3,3,Utility,dodge,1334476,43
3,3,Utility,block,1338597,46
3,3,Utility,heavy_attack,1339094,42
4,4,Utility,light_attack,1341591,40
4,4,Utility,heavy_attack,1342308,482
4,4,Utility,light_attack,1346175,36
4,4,Utility,heavy_attack,1346893,43
4,4,Utility,light_attack,1350758,51
4,4,Utility,use_skill,1351476,42
4,4,Utility,light_attack,1355475,40
4,4,Utility,use_skill,1356191,42
4,4,Utility,block,1360207,37
4,4,Utility,use_skill,1360708,37
4,4,Utility,block,1364840,37
4,4,Utility,dodge,1365341,45
4,4,Utility,block,1369459,36
4,4,Utility,use_skill,1369956,33
4,4,Utility,block,1374093,38
4,4,Utility,dodge,1374592,39
4,4,Utility,block,1378707,34
4,4,Utility,heavy_attack,1379206,40
5,5,Utility,light_attack,1381591,40
5,5,Utility,heavy_attack,1382310,49
5,5,Utility,light_attack,1386172,56
5,5,Utility,heavy_attack,1386890,41
5,5,Utility,light_attack,1390755,36
5,5,Utility,use_skill,1391472,38
5,5,Utility,light_attack,1395473,37
5,5,Utility,use_skill,1396191,40
5,5,Utility,block,1400205,38
5,5,Utility,use_skill,1400705,37
5,5,Utility,block,1404838,37
5,5,Utility,dodge,1405338,42
5,5,Utility,block,1409454,36
5,5,Utility,use_skill,1409955,33
5,5,Utility,block,1414087,37
5,5,Utility,dodge,1414591,39
5,5,Utility,block,1418705,34
5,5,Utility,heavy_attack,1419205,33
6,6,Utility,light_attack,1421591,46
6,6,Utility,heavy_attack,1422303,38
6,6,Utility,light_attack,1426170,36
6,6,Utility,heavy_attack,1426888,36
6,6,Utility,light_attack,1430754,81
6,6,Utility,use_skill,1431471,38
6,6,Utility,light_attack,1435472,68
6,6,Utility,use_skill,1436188,41
6,6,Utility,block,1440207,62
6,6,Utility,use_skill,1440703,56
6,6,Utility,block,1444835,38
6,6,Utility,dodge,1445338,39
6,6,Utility,block,1449453,37
6,6,Utility,use_skill,1449954,34
6,6,Utility,block,1454089,38
6,6,Utility,dodge,1454586,36
6,6,Utility,block,1458703,36
6,6,Utility,heavy_attack,1459202,34
7,7,Utility,light_attack,1461652,37
7,7,Utility,heavy_attack,1462369,39
7,7,Utility,light_attack,1466235,37
7,7,Utility,heavy_attack,1466952,39
7,7,Utility,light_attack,1470819,38
7,7,Utility,use_skill,1471535,38
7,7,Utility,light_attack,1475535,36
7,7,Utility,use_skill,1476253,41
7,7,Utility,block,1480268,36
7,7,Utility,use_skill,1480768,37
7,7,Utility,block,1484903,39
7,7,Utility,dodge,1485401,36
7,7,Utility,block,1489517,35
7,7,Utility,use_skill,1490019,34
7,7,Utility,block,1494150,36
7,7,Utility,dodge,1494654,37
7,7,Utility,block,1498768,38
7,7,Utility,heavy_attack,1499270,95
8,8,Utility,light_attack,1501701,38
8,8,Utility,heavy_attack,1502416,38
8,8,Utility,light_attack,1506283,38
8,8,Utility,heavy_attack,1507004,60
8,8,Utility,light_attack,1510868,38
8,8,Utility,use_skill,1511584,103
8,8,Utility,light_attack,1515583,38
8,8,Utility,use_skill,1516299,39
8,8,Utility,block,1520316,46
8,8,Utility,use_skill,1520816,37
8,8,Utility,block,1524950,36
8,8,Utility,dodge,1525449,74
8,8,Utility,block,1529565,36
8,8,Utility,use_skill,1530067,34
8,8,Utility,block,1534199,41
8,8,Utility,dodge,1534699,37
8,8,Utility,block,1538817,38
8,8,Utility,heavy_attack,1539315,35
9,9,Utility,light_attack,1541733,36
9,9,Utility,heavy_attack,1542450,38
9,9,Utility,light_attack,1546316,39
9,9,Utility,heavy_attack,1547033,40
9,9,Utility,light_attack,1550898,36
9,9,Utility,use_skill,1551614,39
9,9,Utility,light_attack,1555616,56
9,9,Utility,use_skill,1556332,38
9,9,Utility,block,1560351,45
9,9,Utility,use_skill,1560848,37
9,9,Utility,block,1564980,38
9,9,Utility,dodge,1565482,35
9,9,Utility,block,1569598,36
9,9,Utility,use_skill,1570099,35
9,9,Utility,block,1574230,59
9,9,Utility,dodge,1574731,37
9,9,Utility,block,1578846,34
9,9,Utility,heavy_attack,1579349,37
10,10,Utility,light_attack,1581779,36
10,10,Utility,heavy_attack,1582497,46
10,10,Utility,light_attack,1586364,38
10,10,Utility,heavy_attack,1587081,39
10,10,Utility,light_attack,1590948,38
10,10,Utility,use_skill,1591663,156
10,10,Utility,light_attack,1595663,44
10,10,Utility,use_skill,1596379,39
10,10,Utility,block,1600397,38
10,10,Utility,use_skill,1600896,36
10,10,Utility,block,1605031,50
10,10,Utility,dodge,1605528,36
10,10,Utility,block,1609645,48
10,10,Utility,use_skill,1610145,34
10,10,Utility,block,1614277,38
10,10,Utility,dodge,1614778,36
10,10,Utility,block,1618895,33
10,10,Utility,heavy_attack,1619394,34
11,11,Utility,light_attack,1621779,38
11,11,Utility,heavy_attack,1622497,38
11,11,Utility,light_attack,1626361,125
11,11,Utility,heavy_attack,1627077,37
11,11,Utility,light_attack,1630945,39
11,11,Utility,use_skill,1631661,42
11,11,Utility,light_attack,1635663,38
11,11,Utility,use_skill,1636377,72
11,11,Utility,block,1640394,36
11,11,Utility,use_skill,1640895,38
11,11,Utility,block,1645027,36
