session,seed,agent,survival_sec,total_decisions,winner,mem_mb
1,1,FSM,40.022,19,npc1,69.874
2,2,FSM,40.052,19,npc1,69.904
3,3,FSM,40.051,19,npc1,69.904
4,4,FSM,40.085,19,npc1,69.904
5,5,FSM,40.026,19,npc1,69.904
6,6,FSM,40.012,19,npc1,69.904
7,7,FSM,40.058,19,npc1,69.904
8,8,FSM,40.087,19,npc1,69.904
9,9,FSM,40.056,19,npc1,69.904
10,10,FSM,40.068,19,npc1,69.904
11,11,FSM,40.084,19,npc1,69.904
12,12,FSM,40.032,19,npc1,69.904
13,13,FSM,40.036,19,npc1,69.904
14,14,FSM,40.064,19,npc1,69.904
15,15,FSM,40.030,19,npc1,69.904
16,16,FSM,40.083,19,npc1,69.904
17,17,FSM,40.051,19,npc1,69.904
18,18,FSM,40.050,19,npc1,69.904
19,19,FSM,40.010,19,npc1,69.904
20,20,FSM,40.086,19,npc1,69.904
21,21,FSM,40.070,19,npc1,69.904
22,22,FSM,40.071,19,npc1,69.904
23,23,FSM,40.069,19,npc1,69.904
24,24,FSM,40.023,19,npc1,69.904
25,25,FSM,40.085,19,npc1,69.904
26,26,FSM,40.006,19,npc1,69.904
27,27,FSM,40.098,19,npc1,69.904
28,28,FSM,40.052,19,npc1,69.904
29,29,FSM,40.054,19,npc1,69.904
30,30,FSM,40.066,19,npc1,69.904
