session,seed,agent,survival_sec,total_decisions,winner,mem_mb
1,1,MAB,31.716,13,npc1,69.916
2,2,MAB,32.117,14,npc1,69.915
3,3,MAB,32.032,13,npc1,69.916
4,4,MAB,31.701,13,npc1,69.915
5,5,MAB,32.218,14,npc1,69.915
6,6,MAB,32.022,13,npc1,69.915
7,7,MAB,32.786,14,npc1,69.915
8,8,MAB,32.207,14,npc1,69.916
9,9,MAB,31.466,13,npc1,69.915
10,10,MAB,32.233,14,npc1,69.916
11,11,MAB,32.435,15,npc1,69.915
12,12,MAB,32.882,15,npc1,69.915
13,13,MAB,28.732,13,npc2,69.915
14,14,MAB,32.013,13,npc1,69.915
15,15,MAB,32.001,13,npc1,69.915
16,16,MAB,27.290,11,npc2,69.915
17,17,MAB,32.236,14,npc1,69.915
18,18,MAB,32.131,13,npc1,69.915
19,19,MAB,31.656,13,npc1,69.915
20,20,MAB,32.002,13,npc1,69.915
21,21,MAB,31.690,13,npc1,69.915
22,22,MAB,31.987,13,npc1,69.915
23,23,MAB,31.656,13,npc1,69.915
24,24,MAB,31.950,14,npc1,69.915
25,25,MAB,31.982,13,npc1,69.915
26,26,MAB,32.223,14,npc1,69.915
27,27,MAB,32.071,13,npc1,69.915
28,28,MAB,32.407,15,npc1,69.915
29,29,MAB,32.146,13,npc1,69.915
30,30,MAB,32.767,14,npc1,69.915
