session,seed,agent,survival_sec,total_decisions,winner,mem_mb
1,1,Utility,39.903,18,npc1,69.912
2,2,Utility,39.970,18,npc1,69.917
3,3,Utility,40.101,18,npc1,69.917
4,4,Utility,39.940,18,npc1,69.917
5,5,Utility,39.889,18,npc1,69.917
6,6,Utility,39.889,18,npc1,69.917
7,7,Utility,39.949,18,npc1,69.917
8,8,Utility,39.931,18,npc1,69.917
9,9,Utility,39.914,18,npc1,69.917
10,10,Utility,39.940,18,npc1,69.917
11,11,Utility,39.879,18,npc1,69.917
12,12,Utility,39.919,18,npc1,69.917
13,13,Utility,39.938,18,npc1,69.917
14,14,Utility,39.936,18,npc1,69.917
15,15,Utility,39.916,18,npc1,69.917
16,16,Utility,39.923,18,npc1,69.917
17,17,Utility,39.950,18,npc1,69.917
18,18,Utility,39.937,18,npc1,69.917
19,19,Utility,39.930,18,npc1,69.917
20,20,Utility,39.906,18,npc1,69.917
21,21,Utility,39.936,18,npc1,69.917
22,22,Utility,39.918,18,npc1,69.917
23,23,Utility,39.904,18,npc1,69.917
24,24,Utility,39.971,18,npc1,69.917
25,25,Utility,39.903,18,npc1,69.917
26,26,Utility,39.931,18,npc1,69.917
27,27,Utility,39.902,18,npc1,69.917
28,28,Utility,39.917,18,npc1,69.917
29,29,Utility,39.904,18,npc1,69.917
30,30,Utility,39.926,18,npc1,69.917
